,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
96,"Casa Com 5 Dormitórios para Alugar, 1600 m² Por R$100.000,00/mês - Lago Sul - Brasília/df",2400 m² área total 1600 m² área útil 5 Quartos 10 Banheiros 4 Vagas,R$ 100.000,"Lago Sul, Brasília",,,,27-07-20
97,"Casa Com 2 Dormitórios para Alugar, 390 m² Por R$920/mês - Parque Amazônia - Goiânia/go",390 m² área total 390 m² área útil 2 Quartos,R$ 920,"Parque Amazônia, Goiânia",,,,27-07-20
98,"Casa 3 Quartos, Quintal, 3 Vagas, Novinhas Taguatinga Qnl",140 m² área total 70 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 1.500,"Quadra QNL 2 Conjunto J 2, Taguatinga Norte, Taguatinga",,,,27-07-20
99,Aluguel Kitnet na Vila Planalto - Direto Com Proprietario,30 m² área total 30 m² área útil 1 Quarto 1 Banheiro,R$ 900.000,"Vila Planalto, Brasília",,,,27-07-20
100,"Casa para Aluguel - Guará, 1 Quarto, 40 m²",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.500,"Qe 3, Centro, Guará",,,,27-07-20
101,"Casa para Aluguel - Guará, 1 Quarto, 45 m²",45 m² área total 45 m² área útil 1 Quarto 1 Banheiro,R$ 1.150,"Qro-a, Centro, Guará",,,,27-07-20
102,Condomínio Estância Quintas Da Alvorada Vendo Ou Alugo!,690 m² área total 230 m² área útil 3 Quartos 5 Banheiros 5 Vagas,R$ 5.500,"CONDOMÍNIO ESTÂNCIA QUINTAS DA ALVORADA CONDOMÍNIO ESTÂNCIA QUINTAS DA ALVORADA , Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
103,Casa - Asa Norte,600 m² área total 600 m² área útil 3 Quartos 6 Banheiros 6 Vagas,R$ 6.600,"Asa Norte, Brasília",,,,27-07-20
104,Casa - Setor Coimbra,340 m² área total 100 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 1.800,"Rua 254, s/n, Setor Coimbra, Goiânia",,,,27-07-20
105,"Sria Qe 28, Casa De Pavimento Com 03 Quartos Suíte Mais Garagem, Guara II",200 m² área total 200 m² área útil 0 Quartos 4 Banheiros 2 Vagas,R$ 3.800,"QE 28, Guara II, Guará",,,,27-07-20
106,"Sobrado Com 550 m², 4 Quartos, Escritório, Área De Lazer, Ótima Localização.",550 m² área total 550 m² área útil 4 Quartos 7 Banheiros 6 Vagas,R$ 12.900,"QUADRA SHIS QI 3 CONJUNTO 3, Lago Sul, Brasília",,,,27-07-20
107,Casa - Setor De Habitações Individuais Sul,650 m² área total 650 m² área útil 4 Quartos 5 Banheiros 3 Vagas,R$ 10.000,"Lago Sul, Brasília",,,,27-07-20
108,Jardim Pérola L Quadra 15 02 Quartos,60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 450,"Quadra 15 01, Aguas Lindas de Goias, Águas Lindas de Goiás",,,,27-07-20
109,Casa - Guara II,147 m² área total 72 m² área útil 2 Quartos,R$ 800,"QUADRA QE 38 CONJUNTO L CASA 52 FUNDOS, Guara II, Guará",,,,27-07-20
110,Casa Duplex 02 Quartos - Chácaras Anhanguera C,75 m² área total 75 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 700,"Condomínio Botocudos, Chácaras Anhangüera, Valparaíso de Goiás",,,,27-07-20
111,Casa 03 Qts - Setor Leste Universitário - Goiânia/go,560 m² área total 350 m² área útil 3 Quartos,R$ 2.450,"Setor Leste Universitário, Goiânia",,,,27-07-20
112,Casa Com 03 Quartos no Setor Coimbra,704 m² área total 94 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 990,"Setor Coimbra, Goiânia",,,,27-07-20
113,"Qi 01 - Alugo Casa De Fundos - Ceb, Caesb E Iptu Incluído! Oportunidade Única",90 m² área total 90 m² área útil 1 Quarto 1 Banheiro,R$ 1.200,"Quadra QI 1 0, Guara I, Guará",,,,27-07-20
114,Excelente Casa para Venda Ou Locação no Taquari!,776 m² área total 195 m² área útil 3 Quartos 3 Banheiros,R$ 3.000,"Quadra 2 , Lago Norte, Brasília",,,,27-07-20
115,"Casa para Locação na Qi 7 Do Lago Sul, Excelente Localização, Comércios, Restaurantes, Gilberto Salo",3 Quartos 2 Vagas,R$ 5.000,"QUADRA SHIS QI 7 CONJUNTO 12, Lago Sul, Brasília",,,,27-07-20
116,Casa Comercial Rua 15 Setor Marista Goiânia/go,575 m² área total 920 m² área útil 4 Quartos 4 Banheiros 6 Vagas,R$ 18.000,"Rua 15 , Setor Marista, Goiânia",,,,27-07-20
117,"Casa Com 3 Dormitórios para Alugar, 183 m² Por R$1.800/mês - Jardim América - Goiânia/go",429 m² área total 183 m² área útil 3 Quartos,R$ 1.800,"Jardim América, Goiânia",,,,27-07-20
118,"Excelente Sobrado 350 m², Lote 527 m², 4 Quartos + Dce, Piscina, Terraço.",527 m² área total 350 m² área útil 5 Quartos 3 Banheiros,R$ 4.800,"SETOR DE MANSÕES TAGUATINGA, Taguatinga Sul, Taguatinga",,,,27-07-20
119,"Casa para Aluguel - Taguatinga, 2 Quartos, 110 m²",110 m² área total 110 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Qna 47, Taguatinga Centro, Taguatinga",,,,27-07-20
120,"Casa para Aluguel - Jardim América, 2 Quartos, 66 m²",66 m² área total 66 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 900,"Rua C-167, Jardim América, Goiânia",,,,27-07-20
121,Quadra Qi 4 Conjunto W,90 m² área total 90 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.360,"Quadra QI 4 Conjunto W, Guara I, Guará",,,,27-07-20
122,Condomínio Jardim Botânico VI,420 m² área total 420 m² área útil 3 Quartos 4 Banheiros,R$ 5.500,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
123,Alugo Casa De 02 Quartos em Nova Colina I Conj C em Sobradinho - Df,77 m² área total 77 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.000,"Rodovia BR-020 Km 12 Cond. Nova Colina I Conj C Casa 50 , Nova Colina, Sobradinho",,,,27-07-20
124,Shcgn 712 Casa Com 3 Dormitórios para Locação - Asa Norte - Brasília/df,150 m² área total 150 m² área útil 3 Quartos 3 Banheiros 4 Vagas,R$ 5.900,"Quadra SHCGN 712 Bloco M 1, Asa Norte, Brasília",,,,27-07-20
