,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
72,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.030,"Qnm 34 Conjunto B2, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-taguatinga-2-quartos-60-m-sup2-2950396988.html,30-07-20
73,"Casa Com 2 Dormitórios para Alugar, 80 m² Por R$850,00/mês - Setor Aeroporto - Goiânia/go",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 850,"Setor Aeroporto, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-80-m-sup2--por-2950400201.html,30-07-20
74,"Casa Com 4 Dormitórios para Alugar, 200 m² Por R$1.400,00/mês - Feliz - Goiânia/go",240 m² área total 200 m² área útil 4 Quartos 1 Banheiro,R$ 1.400,"Feliz, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-200-m-sup2--por-2950400324.html,30-07-20
75,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$2.400,00/mês - Setor Sul - Goiânia/go",200 m² área total 200 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 2.400,"Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-200-m-sup2--por-2950400311.html,30-07-20
76,"Casa Com 1 Dormitório para Alugar, 70 m² Por R$1.000,00/mês - Setor Coimbra - Goiânia/go",70 m² área total 70 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.000,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-1-dormitorio-para-alugar-70-m-sup2--por-2950400221.html,30-07-20
77,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$900,00/mês - Setor Coimbra - Goiânia/go",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-60-m-sup2--por-2950400377.html,30-07-20
78,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.800/mês - Setor Pedro Ludovico - Goiânia/go",447 m² área total 200 m² área útil 3 Quartos 2 Banheiros,R$ 1.800,"Setor Pedro Ludovico, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-200-m-sup2--por-2950400444.html,30-07-20
79,"Casa Com 3 Dormitórios para Venda, 288 m² Por R$650.000 - Setor Coimbra - Goiânia/go",390 m² área total 288 m² área útil 3 Quartos 4 Banheiros 3 Vagas,R$ 2.500,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-venda-288-m-sup2--por-2950400428.html,30-07-20
80,"Casa Com 2 Dormitórios para Alugar, 100 m² Por R$900,00/mês - Setor Sul - Goiânia/go",240 m² área total 100 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-100-m-sup2--por-2950400318.html,30-07-20
81,Aluga - Se Casa Condomínio Estância Quintas Alvorada,690 m² área total 130 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 3.500,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/aluga-se-casa-condominio-estancia-quintas-alvorada-2950408012.html,30-07-20
